Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
79,Exit long,2025-08-28 14:00,Exit,98.15,196,18147.64,1089.76,6.00,1089.76,6.00,-21.56,-0.12,9259.18,92.59
79,Entry long,2025-08-27 10:30,Long,92.59,196,18147.64,1089.76,6.00,1089.76,6.00,-21.56,-0.12,9259.18,92.59
80,Exit long,2025-09-04 09:30,Exit,115.11,204,19235.16,4247.28,22.08,4247.28,22.08,-367.2,-1.91,13506.46,135.06
80,Entry long,2025-09-03 11:45,Long,94.29,204,19235.16,4247.28,22.08,4247.28,22.08,-367.2,-1.91,13506.46,135.06
81,Exit long,2025-09-10 10:00,Exit,126.19,197,23450.88,1408.55,6.01,1408.55,6.01,-397.94,-1.70,14915.01,149.15
81,Entry long,2025-09-08 10:15,Long,119.04,197,23450.88,1408.55,6.01,1408.55,6.01,-397.94,-1.70,14915.01,149.15
82,Exit long,2025-09-17 14:00,Exit,133.28,181,24851.3,-727.62,-2.93,347.52,1.40,-727.62,-2.93,14187.39,141.87
82,Entry long,2025-09-16 14:00,Long,137.3,181,24851.3,-727.62,-2.93,347.52,1.40,-727.62,-2.93,14187.39,141.87
83,Exit long,2025-09-26 14:45,Exit,141.49,173,24152.53,325.24,1.35,716.22,2.97,-128.02,-0.53,14512.63,145.13
83,Entry long,2025-09-26 10:45,Long,139.61,173,24152.53,325.24,1.35,716.22,2.97,-128.02,-0.53,14512.63,145.13
84,Exit long,2025-10-01 14:30,Exit,149.82,168,24459.12,710.64,2.91,1048.32,4.29,-376.32,-1.54,15223.27,152.23
84,Entry long,2025-09-30 15:15,Long,145.59,168,24459.12,710.64,2.91,1048.32,4.29,-376.32,-1.54,15223.27,152.23
85,Exit long,2025-10-06 14:30,Exit,157.5,165,25200.45,787.05,3.12,1108.8,4.40,-409.2,-1.62,16010.32,160.10
85,Entry long,2025-10-02 13:15,Long,152.73,165,25200.45,787.05,3.12,1108.8,4.40,-409.2,-1.62,16010.32,160.10
86,Exit long,2025-10-14 09:30,Exit,161.19,160,26003.2,-212.8,-0.82,772.8,2.97,-212.8,-0.82,15797.52,157.98
86,Entry long,2025-10-13 11:30,Long,162.52,160,26003.2,-212.8,-0.82,772.8,2.97,-212.8,-0.82,15797.52,157.98
87,Exit long,2025-10-24 12:00,Exit,180.87,151,25765.13,1546.24,6.00,1546.24,6.00,-138.92,-0.54,17343.76,173.44
87,Entry long,2025-10-23 10:30,Long,170.63,151,25765.13,1546.24,6.00,1546.24,6.00,-138.92,-0.54,17343.76,173.44
88,Exit long,2025-10-28 11:30,Exit,174.36,149,27278.92,-1299.28,-4.76,166.88,0.61,-1299.28,-4.76,16044.48,160.44
