Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
20,Exit long,2024-10-01 08:30,Exit,95.79,103,9910.94,9.86,0.1,207.29,2.1,-101.97,-1.03,-79.21,-0.79
20,Entry long,2024-09-30 10:15,Long,95.7,103,9910.94,9.86,0.1,207.29,2.1,-101.97,-1.03,-79.21,-0.79
21,Exit long,2024-10-04 08:45,Exit,97.56,101,9920.79,9.84,0.1,207.4,2.11,-59.34,-0.6,-69.36,-0.69
21,Entry long,2024-10-02 13:00,Long,97.46,101,9920.79,9.84,0.1,207.4,2.11,-59.34,-0.6,-69.36,-0.69
22,Exit long,2024-10-14 09:00,Exit,104.81,99,9930.64,455.16,4.59,541.28,5.46,-117.32,-1.18,385.79,3.86
22,Entry long,2024-10-08 11:00,Long,100.22,99,9930.64,455.16,4.59,541.28,5.46,-117.32,-1.18,385.79,3.86
23,Exit long,2024-10-22 09:30,Exit,99.09,102,10385.79,-251.92,-2.43,51.76,0.5,-297.33,-2.87,133.87,1.34
23,Entry long,2024-10-21 10:45,Long,101.56,102,10385.79,-251.92,-2.43,51.76,0.5,-297.33,-2.87,133.87,1.34
24,Exit long,2024-11-06 07:30,Exit,103.0,100,10133.87,222.25,2.21,372.25,3.69,-18.0,-0.18,356.12,3.56
24,Entry long,2024-11-05 11:15,Long,100.78,100,10133.87,222.25,2.21,372.25,3.69,-18.0,-0.18,356.12,3.56
25,Exit long,2024-11-07 16:00,Exit,114.22,96,10356.12,620.67,6.0,1003.68,9.7,-718.08,-6.94,976.79,9.77
25,Entry long,2024-11-07 16:00,Long,107.76,96,10356.12,620.67,6.0,1003.68,9.7,-718.08,-6.94,976.79,9.77
26,Exit long,2024-11-25 12:00,Exit,99.61,108,10976.79,-217.0,-1.98,169.29,1.54,-236.52,-2.16,759.79,7.6
26,Entry long,2024-11-22 16:00,Long,101.62,108,10976.79,-217.0,-1.98,169.29,1.54,-236.52,-2.16,759.79,7.6
27,Exit long,2024-12-02 15:00,Exit,102.71,106,10759.79,226.09,2.12,382.92,3.59,-16.69,-0.16,985.88,9.86
27,Entry long,2024-11-27 16:00,Long,100.57,106,10759.79,226.09,2.12,382.92,3.59,-16.69,-0.16,985.88,9.86
28,Exit long,2024-12-06 13:30,Exit,108.97,102,10985.88,180.84,1.65,361.08,3.3,-521.22,-4.77,1166.72,11.67
28,Entry long,2024-12-04 10:15,Long,107.2,102,10985.88,180.84,1.65,361.08,3.3,-521.22,-4.77,1166.72,11.67
29,Exit long,2024-12-13 08:00,Exit,109.01,104,11166.72,177.84,1.59,536.61,4.81,-323.44,-2.9,1344.56,13.45
29,Entry long,2024-12-10 10:45,Long,107.3,104,11166.72,177.84,1.59,536.61,4.81,-323.44,-2.9,1344.56,13.45
30,Exit long,2024-12-16 10:15,Exit,114.4,101,11344.56,215.85,1.9,381.78,3.37,-25.25,-0.22,1560.41,15.6
30,Entry long,2024-12-13 14:30,Long,112.26,101,11344.56,215.85,1.9,381.78,3.37,-25.25,-0.22,1560.41,15.6
31,Exit long,2024-12-17 10:00,Exit,113.35,99,11560.41,-314.85,-2.73,46.53,0.4,-337.59,-2.93,1245.56,12.46
31,Entry long,2024-12-16 16:00,Long,116.53,99,11560.41,-314.85,-2.73,46.53,0.4,-337.59,-2.93,1245.56,12.46
32,Exit long,2024-12-20 13:15,Exit,112.58,102,11245.56,258.73,2.31,444.72,3.96,-7.14,-0.06,1504.29,15.04
32,Entry long,2024-12-20 10:15,Long,110.04,102,11245.56,258.73,2.31,444.72,3.96,-7.14,-0.06,1504.29,15.04
33,Exit long,2024-12-30 07:45,Exit,111.57,100,11504.29,-260.0,-2.28,90.0,0.79,-260.0,-2.28,1244.29,12.44
33,Entry long,2024-12-24 11:45,Long,114.17,100,11504.29,-260.0,-2.28,90.0,0.79,-260.0,-2.28,1244.29,12.44
34,Exit long,2025-01-06 08:00,Exit,117.25,98,11244.29,344.75,3.09,515.48,4.62,-54.88,-0.49,1589.04,15.89
34,Entry long,2025-01-03 10:45,Long,113.73,98,11244.29,344.75,3.09,515.48,4.62,-54.88,-0.49,1589.04,15.89
35,Exit long,2025-01-16 16:00,Exit,117.87,101,11589.04,323.89,2.8,528.23,4.56,-189.88,-1.64,1912.94,19.13
35,Entry long,2025-01-14 10:45,Long,114.66,101,11589.04,323.89,2.8,528.23,4.56,-189.88,-1.64,1912.94,19.13
36,Exit long,2025-01-22 08:30,Exit,126.98,99,11912.94,711.59,6.0,728.1,6.14,-45.09,-0.38,2624.52,26.25
36,Entry long,2025-01-17 10:45,Long,119.8,99,11912.94,711.59,6.0,728.1,6.14,-45.09,-0.38,2624.52,26.25
37,Exit long,2025-02-06 09:15,Exit,116.5,111,12624.52,328.03,2.6,427.35,3.39,-499.5,-3.96,2952.55,29.53
37,Entry long,2025-02-03 10:45,Long,113.54,111,12624.52,328.03,2.6,427.35,3.39,-499.5,-3.96,2952.55,29.53
38,Exit long,2025-05-06 15:00,Exit,96.46,142,12952.55,775.32,6.0,781.0,6.04,-140.65,-1.09,3727.87,37.28
38,Entry long,2025-05-06 11:15,Long,91.0,142,12952.55,775.32,6.0,781.0,6.04,-140.65,-1.09,3727.87,37.28
39,Exit long,2025-06-20 08:45,Exit,88.67,150,13727.87,-347.98,-2.55,72.57,0.53,-501.0,-3.67,3379.89,33.8
39,Entry long,2025-06-18 10:15,Long,90.99,150,13727.87,-347.98,-2.55,72.57,0.53,-501.0,-3.67,3379.89,33.8
40,Exit long,2025-06-26 09:00,Exit,100.62,140,13379.89,797.33,6.0,872.9,6.57,-86.8,-0.65,4177.22,41.77
40,Entry long,2025-06-24 14:45,Long,94.92,140,13379.89,797.33,6.0,872.9,6.57,-86.8,-0.65,4177.22,41.77
41,Exit long,2025-07-01 09:15,Exit,99.62,138,14177.22,-372.24,-2.64,112.73,0.8,-380.19,-2.69,3804.98,38.05
41,Entry long,2025-06-30 10:15,Long,102.32,138,14177.22,-372.24,-2.64,112.73,0.8,-380.19,-2.69,3804.98,38.05
42,Exit long,2025-07-11 12:30,Exit,107.74,130,13804.98,288.2,2.1,510.9,3.72,-369.51,-2.69,4093.18,40.93
42,Entry long,2025-07-09 10:45,Long,105.52,130,13804.98,288.2,2.1,510.9,3.72,-369.51,-2.69,4093.18,40.93
43,Exit long,2025-07-28 15:15,Exit,117.01,124,14093.18,526.9,3.77,644.8,4.61,-109.12,-0.78,4620.08,46.2
43,Entry long,2025-07-23 10:15,Long,112.76,124,14093.18,526.9,3.77,644.8,4.61,-109.12,-0.78,4620.08,46.2
44,Exit long,2025-08-13 09:00,Exit,139.42,104,14620.08,14.49,0.1,328.64,2.27,-289.07,-2.0,4634.57,46.35
