Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
20,Entry long,2024-11-19 10:30,Long,93.76,109,10268.89,167.03,1.63,438.18,4.29,-30.51,-0.3,435.92,4.36
21,Exit long,2024-11-20 16:15,Exit,96.54,108,10435.92,10.42,0.1,253.8,2.44,-225.72,-2.17,446.34,4.46
21,Entry long,2024-11-20 15:00,Long,96.44,108,10435.92,10.42,0.1,253.8,2.44,-225.72,-2.17,446.34,4.46
22,Exit long,2024-12-03 09:30,Exit,110.51,100,10446.34,625.5,6.0,653.0,6.26,-341.0,-3.27,1071.84,10.72
22,Entry long,2024-11-29 10:45,Long,104.25,100,10446.34,625.5,6.0,653.0,6.26,-341.0,-3.27,1071.84,10.72
23,Exit long,2024-12-05 09:30,Exit,112.76,92,11071.84,-642.24,-5.83,133.86,1.22,-662.86,-6.02,429.6,4.3
23,Entry long,2024-12-04 12:00,Long,119.74,92,11071.84,-642.24,-5.83,133.86,1.22,-662.86,-6.02,429.6,4.3
24,Exit long,2024-12-09 09:30,Exit,120.78,88,10429.6,265.07,2.56,495.48,4.78,-38.72,-0.37,694.66,6.95
24,Entry long,2024-12-06 13:15,Long,117.77,88,10429.6,265.07,2.56,495.48,4.78,-38.72,-0.37,694.66,6.95
25,Exit long,2024-12-16 10:15,Exit,132.41,82,10694.66,209.78,1.97,536.28,5.04,-223.04,-2.09,904.45,9.04
25,Entry long,2024-12-13 10:45,Long,129.85,82,10694.66,209.78,1.97,536.28,5.04,-223.04,-2.09,904.45,9.04
26,Exit long,2024-12-30 08:00,Exit,138.39,74,10904.45,-643.34,-5.91,20.72,0.19,-643.8,-5.92,261.1,2.61
26,Entry long,2024-12-26 11:45,Long,147.08,74,10904.45,-643.34,-5.91,20.72,0.19,-643.8,-5.92,261.1,2.61
27,Exit long,2025-01-21 04:00,Exit,130.75,78,10261.1,10.19,0.1,279.24,2.74,-84.24,-0.83,271.29,2.71
27,Entry long,2025-01-17 10:45,Long,130.62,78,10261.1,10.19,0.1,279.24,2.74,-84.24,-0.83,271.29,2.71
28,Exit long,2025-01-24 09:30,Exit,124.55,83,10271.29,161.84,1.59,394.25,3.87,-49.8,-0.49,433.13,4.33
28,Entry long,2025-01-23 15:15,Long,122.6,83,10271.29,161.84,1.59,394.25,3.87,-49.8,-0.49,433.13,4.33
29,Exit long,2025-05-08 08:30,Exit,71.75,148,10433.13,207.25,1.99,569.8,5.47,-1.48,-0.01,640.38,6.4
29,Entry long,2025-05-07 14:45,Long,70.35,148,10433.13,207.25,1.99,569.8,5.47,-1.48,-0.01,640.38,6.4
30,Exit long,2025-05-15 14:15,Exit,90.99,117,10640.38,10.64,0.1,290.94,2.74,-462.54,-4.35,651.01,6.51
30,Entry long,2025-05-14 11:15,Long,90.9,117,10640.38,10.64,0.1,290.94,2.74,-462.54,-4.35,651.01,6.51
31,Exit long,2025-05-29 06:15,Exit,100.05,106,10651.01,10.59,0.1,217.3,2.05,-74.2,-0.7,661.61,6.62
31,Entry long,2025-05-28 16:00,Long,99.95,106,10651.01,10.59,0.1,217.3,2.05,-74.2,-0.7,661.61,6.62
32,Exit long,2025-06-03 07:00,Exit,93.34,116,10661.61,234.33,2.21,423.92,4.0,-12.18,-0.11,895.93,8.96
32,Entry long,2025-06-02 10:30,Long,91.32,116,10661.61,234.33,2.21,423.92,4.0,-12.18,-0.11,895.93,8.96
33,Exit long,2025-06-26 09:00,Exit,94.07,122,10895.93,649.61,6.0,818.01,7.56,-60.39,-0.56,1545.55,15.46
33,Entry long,2025-06-25 12:15,Long,88.74,122,10895.93,649.61,6.0,818.01,7.56,-60.39,-0.56,1545.55,15.46
34,Exit long,2025-07-10 03:45,Exit,102.4,119,11545.55,689.72,6.0,696.15,6.06,-6.54,-0.06,2235.27,22.35
34,Entry long,2025-07-09 10:30,Long,96.6,119,11545.55,689.72,6.0,696.15,6.06,-6.54,-0.06,2235.27,22.35
35,Exit long,2025-07-14 03:00,Exit,94.52,123,12235.27,-604.9,-4.95,14.51,0.12,-661.99,-5.41,1630.37,16.3
35,Entry long,2025-07-11 11:30,Long,99.44,123,12235.27,-604.9,-4.95,14.51,0.12,-661.99,-5.41,1630.37,16.3
36,Exit long,2025-07-21 05:45,Exit,103.78,114,11630.37,289.38,2.51,427.5,3.7,-5.7,-0.05,1919.75,19.2
36,Entry long,2025-07-18 13:00,Long,101.24,114,11630.37,289.38,2.51,427.5,3.7,-5.7,-0.05,1919.75,19.2
37,Exit long,2025-07-23 08:30,Exit,123.92,101,11919.75,708.47,6.0,817.09,6.92,-91.86,-0.78,2628.22,26.28
37,Entry long,2025-07-22 15:00,Long,116.91,101,11919.75,708.47,6.0,817.09,6.92,-91.86,-0.78,2628.22,26.28
38,Exit long,2025-08-11 08:30,Exit,177.33,71,12628.22,12.58,0.1,298.91,2.38,-152.65,-1.21,2640.8,26.41
38,Entry long,2025-08-08 10:15,Long,177.15,71,12628.22,12.58,0.1,298.91,2.38,-152.65,-1.21,2640.8,26.41
39,Exit long,2025-08-21 07:00,Exit,172.14,73,12640.8,12.55,0.1,367.68,2.93,-33.09,-0.26,2653.35,26.53
39,Entry long,2025-08-20 14:45,Long,171.96,73,12640.8,12.55,0.1,367.68,2.93,-33.09,-0.26,2653.35,26.53
40,Exit long,2025-08-22 09:00,Exit,175.99,70,12653.35,-239.4,-1.91,349.3,2.78,-338.1,-2.69,2413.95,24.14
40,Entry long,2025-08-21 10:45,Long,179.41,70,12653.35,-239.4,-1.91,349.3,2.78,-338.1,-2.69,2413.95,24.14
41,Exit long,2025-08-28 08:30,Exit,182.5,67,12413.95,-118.59,-0.96,352.42,2.85,-821.42,-6.65,2295.36,22.95
41,Entry long,2025-08-22 10:15,Long,184.27,67,12413.95,-118.59,-0.96,352.42,2.85,-821.42,-6.65,2295.36,22.95
42,Exit long,2025-09-02 07:00,Exit,176.73,64,12295.36,-838.56,-6.9,93.36,0.77,-897.92,-7.39,1456.8,14.57
42,Entry long,2025-08-28 11:00,Long,189.83,64,12295.36,-838.56,-6.9,93.36,0.77,-897.92,-7.39,1456.8,14.57
43,Exit long,2025-09-10 08:30,Exit,222.92,52,11456.8,328.62,2.92,557.44,4.95,-39.06,-0.35,1785.42,17.85
43,Entry long,2025-09-09 15:30,Long,216.6,52,11456.8,328.62,2.92,557.44,4.95,-39.06,-0.35,1785.42,17.85
44,Exit long,2025-09-11 09:00,Exit,232.97,51,11785.42,132.73,1.13,379.95,3.23,-34.68,-0.3,1918.15,19.18
44,Entry long,2025-09-10 15:00,Long,230.37,51,11785.42,132.73,1.13,379.95,3.23,-34.68,-0.3,1918.15,19.18
45,Exit long,2025-09-18 07:00,Exit,255.11,47,11918.15,289.0,2.47,518.88,4.43,-52.64,-0.45,2207.15,22.07
45,Entry long,2025-09-17 14:15,Long,248.96,47,11918.15,289.0,2.47,518.88,4.43,-52.64,-0.45,2207.15,22.07
46,Exit long,2025-09-18 12:30,Exit,247.24,46,12207.15,-642.05,-5.34,78.2,0.65,-788.9,-6.57,1565.1,15.65
46,Entry long,2025-09-18 11:15,Long,261.2,46,12207.15,-642.05,-5.34,78.2,0.65,-788.9,-6.57,1565.1,15.65
47,Exit long,2025-10-09 08:30,Exit,219.58,52,11565.1,11.41,0.1,328.59,2.88,-159.12,-1.39,1576.51,15.77
47,Entry long,2025-10-08 15:00,Long,219.36,52,11565.1,11.41,0.1,328.59,2.88,-159.12,-1.39,1576.51,15.77
48,Exit long,2025-11-04 16:15,Exit,180.66,61,11576.51,-514.72,-4.46,664.9,5.76,-796.66,-6.91,1061.8,10.62
48,Entry long,2025-11-04 10:30,Long,189.1,61,11576.51,-514.72,-4.46,664.9,5.76,-796.66,-6.91,1061.8,10.62
49,Exit long,2025-12-08 11:45,Exit,167.05,66,11061.8,11.01,0.1,331.32,3.01,-14.9,-0.14,1072.81,10.73
49,Entry long,2025-12-08 10:30,Long,166.88,66,11061.8,11.01,0.1,331.32,3.01,-14.9,-0.14,1072.81,10.73
50,Exit long,2025-12-11 17:45,Exit,170.9,66,11072.81,336.35,3.07,637.73,5.83,-21.12,-0.19,1409.16,14.09
50,Entry long,2025-12-11 13:30,Long,165.8,66,11072.81,336.35,3.07,637.73,5.83,-21.12,-0.19,1409.16,14.09
51,Exit long,2025-12-30 13:15,Exit,172.02,67,11409.16,178.64,1.57,443.87,3.91,-124.28,-1.1,1587.8,15.88
51,Entry long,2025-12-29 15:00,Long,169.36,67,11409.16,178.64,1.57,443.87,3.91,-124.28,-1.1,1587.8,15.88
52,Exit long,2026-01-05 09:30,Exit,182.74,64,11587.8,242.28,2.12,398.72,3.48,-114.56,-1.0,1830.08,18.3
52,Entry long,2026-01-02 11:30,Long,178.95,64,11587.8,242.28,2.12,398.72,3.48,-114.56,-1.0,1830.08,18.3
53,Exit long,2026-01-12 13:30,Exit,175.18,71,11830.08,704.03,6.0,705.39,6.01,-40.11,-0.34,2534.11,25.34
53,Entry long,2026-01-12 10:45,Long,165.26,71,11830.08,704.03,6.0,705.39,6.01,-40.11,-0.34,2534.11,25.34
54,Exit long,2026-01-14 05:45,Exit,177.31,70,12534.11,21.7,0.18,455.0,3.67,-15.4,-0.12,2555.81,25.56
54,Entry long,2026-01-13 10:45,Long,177.0,70,12534.11,21.7,0.18,455.0,3.67,-15.4,-0.12,2555.81,25.56
55,Exit long,2026-01-16 09:30,Exit,179.07,70,12555.81,12.52,0.1,270.9,2.16,-326.9,-2.61,2568.33,25.68
55,Entry long,2026-01-15 13:15,Long,178.89,70,12555.81,12.52,0.1,270.9,2.16,-326.9,-2.61,2568.33,25.68
56,Exit long,2026-01-20 04:00,Exit,173.32,67,12568.33,-932.48,-7.43,6.03,0.05,-1092.1,-8.71,1635.85,16.36
56,Entry long,2026-01-16 12:00,Long,187.24,67,12568.33,-932.48,-7.43,6.03,0.05,-1092.1,-8.71,1635.85,16.36
57,Exit long,2026-01-20 19:00,Exit,182.84,64,11635.85,230.92,2.01,676.48,5.9,-33.28,-0.29,1866.77,18.67
57,Entry long,2026-01-20 10:15,Long,179.23,64,11635.85,230.92,2.01,676.48,5.9,-33.28,-0.29,1866.77,18.67
