timestamp_ms,datetime_utc,open,high,low,close,volume,vwap
1719216000000,2024-06-24 08:00:00+00:00,545.12,545.62,544.4,545.53,15904.0,545.2379
1719216900000,2024-06-24 08:15:00+00:00,545.59,545.73,545.47,545.73,3479.0,545.5593
1719217800000,2024-06-24 08:30:00+00:00,545.6,545.6,545.52,545.58,3015.0,545.537
1719218700000,2024-06-24 08:45:00+00:00,545.57,545.57,545.37,545.38,1780.0,545.4063
1719219600000,2024-06-24 09:00:00+00:00,545.49,545.49,545.31,545.31,1391.0,545.3828
1719220500000,2024-06-24 09:15:00+00:00,545.21,545.36,545.18,545.25,4127.0,545.2386
1719221400000,2024-06-24 09:30:00+00:00,545.1,545.11,544.91,544.97,2237.0,545.0031
1719222300000,2024-06-24 09:45:00+00:00,544.82,544.87,544.63,544.87,5317.0,544.706
1719223200000,2024-06-24 10:00:00+00:00,544.95,544.99,544.83,544.83,1650.0,544.9259
1719224100000,2024-06-24 10:15:00+00:00,544.83,545.08,544.83,545.08,1027.0,544.9773
1719225000000,2024-06-24 10:30:00+00:00,545.01,545.18,544.95,545.18,5653.0,545.0367
1719225900000,2024-06-24 10:45:00+00:00,545.22,545.32,545.03,545.26,6490.0,545.1944
1719226800000,2024-06-24 11:00:00+00:00,545.25,545.4,545.2,545.301,7878.0,545.3049
1719227700000,2024-06-24 11:15:00+00:00,545.28,545.29,544.91,545.01,23534.0,545.1375
1719228600000,2024-06-24 11:30:00+00:00,545.01,545.2,544.9,545.2,11143.0,545.0416
1719229500000,2024-06-24 11:45:00+00:00,545.14,545.25,544.85,544.91,35184.0,544.9684
1719230400000,2024-06-24 12:00:00+00:00,545.27,545.4,543.8,544.72,44906.0,544.7012
1719231300000,2024-06-24 12:15:00+00:00,544.63,545.15,544.53,545.04,15507.0,544.8841
1719232200000,2024-06-24 12:30:00+00:00,545.04,545.1,544.33,544.47,41482.0,544.6189
1719233100000,2024-06-24 12:45:00+00:00,544.5,544.64,544.35,544.39,32561.0,544.4922
1719234000000,2024-06-24 13:00:00+00:00,544.39,544.46,543.97,544.0,78933.0,544.2273
1719234900000,2024-06-24 13:15:00+00:00,544.0,544.45,543.97,544.34,71534.0,544.2782
1719235800000,2024-06-24 13:30:00+00:00,544.33,544.51,543.76,543.905,2024729.0,544.2675
1719236700000,2024-06-24 13:45:00+00:00,543.89,545.802,543.78,545.655,1705210.0,544.7981
1719237600000,2024-06-24 14:00:00+00:00,545.65,546.95,545.575,546.5115,1899496.0,546.3167
1719238500000,2024-06-24 14:15:00+00:00,546.53,546.61,545.25,545.44,1367208.0,546.101
1719239400000,2024-06-24 14:30:00+00:00,545.43,546.355,545.33,545.42,1330071.0,545.8003
1719240300000,2024-06-24 14:45:00+00:00,545.39,546.06,544.66,545.98,1480483.0,545.3716
1719241200000,2024-06-24 15:00:00+00:00,545.97,546.2004,545.661,546.08,1003338.0,545.4912
1719242100000,2024-06-24 15:15:00+00:00,546.1,546.34,545.54,546.14,1136633.0,546.0467
1719243000000,2024-06-24 15:30:00+00:00,546.145,546.28,545.84,545.98,532551.0,546.0784
1719243900000,2024-06-24 15:45:00+00:00,545.995,546.19,545.69,546.17,548657.0,545.955
1719244800000,2024-06-24 16:00:00+00:00,546.15,546.226,545.57,545.645,594841.0,545.8908
1719245700000,2024-06-24 16:15:00+00:00,545.6599,546.1295,545.6599,545.965,465865.0,545.9429
1719246600000,2024-06-24 16:30:00+00:00,545.965,546.18,545.5441,545.7,874500.0,545.947
1719247500000,2024-06-24 16:45:00+00:00,545.68,545.84,544.85,545.0999,1923091.0,545.4604
1719248400000,2024-06-24 17:00:00+00:00,545.1,545.3,544.0,544.19,1454997.0,544.5343
1719249300000,2024-06-24 17:15:00+00:00,544.13,544.6,544.02,544.25,778574.0,544.3462
1719250200000,2024-06-24 17:30:00+00:00,544.27,544.54,543.61,544.155,899903.0,544.1093
1719251100000,2024-06-24 17:45:00+00:00,544.15,544.42,543.8,543.975,527113.0,544.0854
1719252000000,2024-06-24 18:00:00+00:00,543.98,544.0601,543.55,543.63,706344.0,543.7715
1719252900000,2024-06-24 18:15:00+00:00,543.62,543.97,543.425,543.77,1336441.0,543.8287
1719253800000,2024-06-24 18:30:00+00:00,543.77,544.165,543.48,544.02,1137724.0,543.8493
1719254700000,2024-06-24 18:45:00+00:00,544.01,544.6172,543.98,544.225,1038551.0,544.3205
1719255600000,2024-06-24 19:00:00+00:00,544.22,544.66,544.11,544.345,922795.0,544.4749
