datetime,timestamp,open,high,low,close,volume,vwap
2024-03-01 04:00:00,1709283600000,176.98,177.2,176.98,177.2,5353.0,177.1127
2024-03-01 04:15:00,1709284500000,177.3,177.4,177.3,177.4,4625.0,177.3575
2024-03-01 04:30:00,1709285400000,177.4,177.75,177.39,177.72,5380.0,177.5329
2024-03-01 04:45:00,1709286300000,177.6,177.62,177.36,177.36,6567.0,177.5198
2024-03-01 05:00:00,1709287200000,177.23,177.23,177.0,177.0,6435.0,177.1076
2024-03-01 05:15:00,1709288100000,176.81,176.81,176.04,176.18,18293.0,176.4603
2024-03-01 05:30:00,1709289000000,176.48,176.71,176.42,176.66,6816.0,176.5314
2024-03-01 05:45:00,1709289900000,176.66,176.66,176.38,176.4,3771.0,176.5073
2024-03-01 06:00:00,1709290800000,176.58,176.73,176.58,176.6,3237.0,176.6654
2024-03-01 06:15:00,1709291700000,176.6,176.65,176.54,176.65,810.0,176.5746
2024-03-01 06:30:00,1709292600000,176.61,176.67,176.47,176.67,5276.0,176.5269
2024-03-01 06:45:00,1709293500000,176.69,176.77,176.66,176.73,6070.0,176.7085
2024-03-01 07:00:00,1709294400000,176.85,176.93,176.8,176.9,15021.0,176.8721
2024-03-01 07:15:00,1709295300000,176.96,177.0,176.7,176.75,12412.0,176.929
2024-03-01 07:30:00,1709296200000,176.74,176.95,176.7,176.95,7092.0,176.774
2024-03-01 07:45:00,1709297100000,176.95,177.18,176.95,177.07,14211.0,177.0929
2024-03-01 08:00:00,1709298000000,176.93,177.72,176.62,177.2,85158.0,177.0778
2024-03-01 08:15:00,1709298900000,177.19,177.2,176.94,177.0,20281.0,177.0583
2024-03-01 08:30:00,1709299800000,177.01,177.12,176.51,176.65,31909.0,176.7403
2024-03-01 08:45:00,1709300700000,176.94,176.9426,176.56,176.76,14535.0,176.7948
2024-03-01 09:00:00,1709301600000,176.74,176.7499,176.56,176.62,9749.0,176.6717
2024-03-01 09:15:00,1709302500000,176.65,176.8,176.3637,176.7,32247.0,176.6506
2024-03-01 09:30:00,1709303400000,176.75,177.19,176.07,176.72,2876961.0,176.6385
2024-03-01 09:45:00,1709304300000,176.71,177.0,176.2264,176.92,1308812.0,176.6494
2024-03-01 10:00:00,1709305200000,176.89,177.55,176.7187,177.4316,1603988.0,177.1976
2024-03-01 10:15:00,1709306100000,177.42,177.53,176.83,177.48,1388310.0,177.2205
2024-03-01 10:30:00,1709307000000,177.49,177.56,177.07,177.55,917131.0,177.331
2024-03-01 10:45:00,1709307900000,177.54,177.866,177.32,177.55,1230939.0,177.6033
2024-03-01 11:00:00,1709308800000,177.55,177.86,177.475,177.615,860073.0,177.6883
2024-03-01 11:15:00,1709309700000,177.62,178.195,177.62,177.805,1597506.0,177.9707
2024-03-01 11:30:00,1709310600000,177.81,177.955,177.68,177.76,699539.0,177.83
2024-03-01 11:45:00,1709311500000,177.765,178.08,177.72,177.875,697548.0,177.9075
2024-03-01 12:00:00,1709312400000,177.8779,177.98,177.61,177.9224,585557.0,177.7764
2024-03-01 12:15:00,1709313300000,177.93,178.07,177.73,177.7421,663218.0,177.9427
2024-03-01 12:30:00,1709314200000,177.75,178.0,177.6785,177.89,551500.0,177.8937
2024-03-01 12:45:00,1709315100000,177.895,178.16,177.7799,177.9086,797520.0,178.0096
2024-03-01 13:00:00,1709316000000,177.91,178.17,177.825,178.055,656487.0,178.0234
2024-03-01 13:15:00,1709316900000,178.06,178.39,177.98,178.358,707775.0,178.2298
2024-03-01 13:30:00,1709317800000,178.356,178.62,178.305,178.55,732131.0,178.4551
2024-03-01 13:45:00,1709318700000,178.5414,178.645,178.35,178.52,715969.0,178.5316
2024-03-01 14:00:00,1709319600000,178.53,178.64,178.3816,178.595,641670.0,178.5278
2024-03-01 14:15:00,1709320500000,178.595,178.6788,178.29,178.62,676017.0,178.5245
2024-03-01 14:30:00,1709321400000,178.62,178.65,178.31,178.46,714713.0,178.4555
2024-03-01 14:45:00,1709322300000,178.46,178.7,178.43,178.685,611412.0,178.5641
2024-03-01 15:00:00,1709323200000,178.69,178.725,178.38,178.48,809426.0,178.5652
2024-03-01 15:15:00,1709324100000,178.475,178.605,178.235,178.53,990189.0,178.4586
2024-03-01 15:30:00,1709325000000,178.53,178.6383,178.41,178.585,1029492.0,178.5323
2024-03-01 15:45:00,1709325900000,178.585,178.655,178.17,178.26,2618159.0,178.3919
2024-03-01 16:00:00,1709326800000,178.22,178.39,178.22,178.26,696636.0,178.2255
2024-03-01 16:15:00,1709327700000,178.24,178.24,178.21,178.22,89568.0,178.2207
2024-03-01 16:30:00,1709328600000,178.23,178.23,178.15,178.22,33955.0,178.2162
2024-03-01 16:45:00,1709329500000,178.15,178.15,178.0303,178.09,5605.0,177.7924
2024-03-01 17:00:00,1709330400000,178.09,178.14,178.07,178.13,2468.0,178.1032
2024-03-01 17:15:00,1709331300000,178.1,178.14,178.09,178.12,3227.0,178.1108
2024-03-01 17:30:00,1709332200000,178.0901,178.1547,178.0116,178.0116,8639.0,178.0688
2024-03-01 17:45:00,1709333100000,178.05,178.05,177.9257,177.95,9039.0,177.9869
2024-03-01 18:00:00,1709334000000,178.0,178.01,177.9,178.01,5167.0,177.953
2024-03-01 18:15:00,1709334900000,178.05,178.1398,178.01,178.01,3794.0,178.0838
2024-03-01 18:30:00,1709335800000,178.01,178.0998,178.01,178.0998,4394.0,178.0437
2024-03-01 18:45:00,1709336700000,178.03,178.1,178.03,178.0344,1682.0,178.0597
2024-03-01 19:00:00,1709337600000,178.1,178.15,178.0501,178.1,1600.0,178.1096
2024-03-01 19:15:00,1709338500000,178.1,178.19,178.06,178.14,2869.0,178.1328
2024-03-01 19:30:00,1709339400000,178.08,178.17,178.08,178.17,2074.0,178.1407
2024-03-01 19:45:00,1709340300000,178.1001,178.2,178.0,178.0,2868.0,178.0885
2024-03-04 04:00:00,1709542800000,178.63,178.8,178.43,178.8,6010.0,178.6576
2024-03-04 04:15:00,1709543700000,178.73,178.77,178.71,178.71,2471.0,178.7225
2024-03-04 04:30:00,1709544600000,178.48,178.48,178.41,178.41,1355.0,178.4393
2024-03-04 04:45:00,1709545500000,178.48,178.5,178.45,178.47,3975.0,178.4758
2024-03-04 05:00:00,1709546400000,178.34,178.34,178.26,178.26,787.0,178.2916
2024-03-04 05:30:00,1709548200000,178.26,178.43,178.26,178.41,3477.0,178.3557
2024-03-04 06:00:00,1709550000000,178.31,178.31,178.17,178.17,5657.0,178.2433
2024-03-04 06:15:00,1709550900000,178.11,178.15,178.1,178.15,1681.0,178.1343
2024-03-04 06:30:00,1709551800000,178.1,178.1,178.01,178.01,3495.0,178.0488
2024-03-04 06:45:00,1709552700000,178.06,178.09,178.06,178.09,932.0,178.0636
2024-03-04 07:00:00,1709553600000,178.05,178.09,177.73,177.98,18150.0,177.948
2024-03-04 07:15:00,1709554500000,178.0,178.35,177.99,178.35,9275.0,178.2048
2024-03-04 07:30:00,1709555400000,178.3,178.5,178.26,178.5,13989.0,178.3482
2024-03-04 07:45:00,1709556300000,178.39,178.39,178.28,178.28,11410.0,178.3564
2024-03-04 08:00:00,1709557200000,177.88,178.96,177.7501,178.37,65436.0,178.3201
2024-03-04 08:15:00,1709558100000,178.37,178.41,178.16,178.16,21953.0,178.2943
2024-03-04 08:30:00,1709559000000,178.2,178.27,177.9566,177.9566,35004.0,178.0738
2024-03-04 08:45:00,1709559900000,177.95,177.9886,177.82,177.88,20764.0,177.8828
2024-03-04 09:00:00,1709560800000,177.83,177.88,177.6,177.77,27012.0,177.7731
2024-03-04 09:15:00,1709561700000,177.7244,177.9,177.23,177.53,75822.0,177.6453
2024-03-04 09:30:00,1709562600000,177.53,179.97,177.49,178.93,4475281.0,178.8291
2024-03-04 09:45:00,1709563500000,178.935,179.73,178.84,179.69,2010251.0,179.329
2024-03-04 10:00:00,1709564400000,179.67,180.0,179.51,179.775,1523883.0,179.8142
2024-03-04 10:15:00,1709565300000,179.78,179.99,179.44,179.61,1243670.0,179.7281
2024-03-04 10:30:00,1709566200000,179.59,179.87,179.42,179.74,1148076.0,179.6891
2024-03-04 10:45:00,1709567100000,179.74,180.14,179.71,179.925,2175947.0,179.9474
2024-03-04 11:00:00,1709568000000,179.925,180.105,179.17,179.21,1177541.0,179.6571
2024-03-04 11:15:00,1709568900000,179.217,179.39,178.98,178.98,714713.0,179.1953
2024-03-04 11:30:00,1709569800000,178.99,179.03,178.72,178.795,808152.0,178.875
2024-03-04 11:45:00,1709570700000,178.7901,178.92,178.56,178.91,684109.0,178.7328
2024-03-04 12:00:00,1709571600000,178.91,178.915,178.35,178.47,711111.0,178.609
2024-03-04 12:15:00,1709572500000,178.47,178.55,178.25,178.31,778026.0,178.4156
2024-03-04 12:30:00,1709573400000,178.32,178.5999,178.315,178.39,612071.0,178.4396
2024-03-04 12:45:00,1709574300000,178.37,178.49,178.185,178.27,668665.0,178.3547
